2020-01-04,"48,95"
2020-01-05,"40,47"
2020-01-06,"98,32"
2020-01-07,"78,43"
2020-01-08,"98,81"
2020-01-09,"86,4"
2020-01-10,"82,56"
2020-01-11,"43,86"
2020-01-12,"50,51"
2020-01-13,"77,62"
2020-01-14,"103,91"
2020-01-15,"95,4"
2020-01-16,"90,96"
2020-01-17,"131,48"
2020-01-18,"64,47"
2020-01-19,"82,58"
2020-01-20,"138,84"
2020-01-21,"125,72"
2020-01-22,"118,37"
2020-01-23,"110,43"
2020-01-24,"102,02"
2020-01-25,"73,26"
2020-01-26,"79,2"
2020-01-27,"102,88"
2020-01-28,"111,92"
2020-01-29,"129,18"
2020-01-30,"163,26"
2020-01-31,"100,71"
2020-02-01,"55,83"
2020-02-02,"67,48"
2020-02-03,"191,12"
2020-02-04,"124,58"
2020-02-05,"162,72"
2020-02-06,"111,44"
2020-02-07,"132,21"
2020-02-08,"67,18"
2020-02-09,"70,78"
2020-02-10,"134,43"
2020-02-11,"159,37"
2020-02-12,"185,94"
2020-02-13,"154,05"
2020-02-14,"128,87"
2020-02-15,"72,65"
2020-02-16,"62,8"
2020-02-17,"141,53"
2020-02-18,"136,54"
2020-02-19,"240,88"
2020-02-20,"204,71"
2020-02-21,"166,09"
2020-02-22,"94,79"
2020-02-23,"81,75"
2020-02-24,"204,98"
2020-02-25,"189,32"
2020-02-26,"194,24"
2020-02-27,"200,84"
2020-02-28,"143,3"
2020-02-29,"81,4"
2020-03-01,"75,3"
2020-03-02,"179,25"
2020-03-03,"187,17"
2020-03-04,"230,03"
2020-03-05,"209,15"
2020-03-06,"172,43"
2020-03-07,"83,09"
2020-03-08,"68,73"
2020-03-09,"219,39"
2020-03-10,"203,64"
2020-03-11,"169,19"
2020-03-12,"185,18"
2020-03-13,"191,26"
2020-03-14,"71,78"
2020-03-15,"79,42"
2020-03-16,"174,63"
2020-03-17,"175,26"
2020-03-18,"172,05"
2020-03-19,"136,47"
2020-03-20,"153,97"
2020-03-21,"60,55"
2020-03-22,"56,79"
2020-03-23,"99,55"
2020-03-24,"132,59"
2020-03-25,"145,01"
2020-03-26,"148,54"
2020-03-27,"121,36"
2020-03-28,"50,96"
2020-03-29,"52,81"
2020-03-30,"49,93"
